produto_id_inexistente,arquivos,bytes
26795,6,255854
26797,6,1376445
26800,6,255854
26814,9,452018
26830,3,184381
26833,3,184381
26838,5,1133977
26839,1,51708
26871,4,74919
26872,4,74919
26873,4,74919
26874,4,74919
26879,4,119822
26909,3,73634
26916,3,99856
26932,6,1302643
26933,6,1314363
26934,5,1293517
26935,6,1303588
26936,6,1318054
26937,6,1317014
26938,6,1310549
26939,6,1308447
26940,6,1301612
26941,6,1306129
26942,6,1317766
26953,3,59496
26961,3,59496
26964,3,59496
26969,3,59496
26977,3,59496
26980,3,59496
26997,1,22927
26999,3,382463
27024,1,28040
27035,4,102218
27037,4,65296
27039,4,102218
27044,4,155534
27048,3,73634
27049,4,102218
27053,6,1296698
27054,4,75842
27056,5,109042
27062,6,1262107
27067,3,73634
27076,4,64015
27077,6,198676
27085,7,1346272
27087,3,254058
27088,4,1184210
27089,5,126416
27093,4,196901
27098,4,120197
27108,5,105409
27119,7,218669
27125,5,175253
27133,4,75842
27135,4,81597
27136,6,198676
27137,5,93767
27138,4,800661
27139,5,180800
27140,4,81597
27142,5,152255
27143,7,155836
27147,4,120458
27150,4,132553
27151,4,151830
27155,4,75842
27156,6,198676
27164,6,198676
27169,4,102218
27172,4,75842
27173,5,175253
27176,3,74897
27198,5,149269
27199,5,91326
27207,5,175253
27213,6,198676
27217,2,85204
27222,5,175253
27224,5,95484
27235,4,102218
27245,6,198676
27247,6,198676
27251,3,73634
27266,5,109042
27267,5,683094
27279,5,143505
27280,6,128492
27283,6,116220
27308,3,59575
27309,4,115245
27311,4,78233
27324,4,85166
27325,5,154648
27326,4,86538
27329,5,282671
27330,5,282671
27343,4,78233
27347,4,78233
27357,4,93691
27358,5,117791
27360,4,93691
27382,5,282671
27400,3,129979
27405,5,132277
27406,4,115245
27534,3,56248
27559,5,149046
27570,4,142552
27575,5,147877
27583,4,109985
27662,4,134110
27663,4,134110
27664,4,134110
27665,4,134110
27708,7,637458
27710,4,496484
27725,4,276895
27888,6,339248
27901,9,466269
27938,3,172843
27947,5,206081
27964,4,110330
27968,2,110216
28006,2,213836
28007,2,213836
28008,2,213836
28011,2,36149
28013,3,88753
28033,3,73637
28034,4,116835
28102,4,57648
28105,3,159631
28167,2,91683
28178,5,245412
28181,5,245412
28199,5,245479
28200,5,245479
28201,5,245479
28202,5,245479
28203,5,245479
28204,5,245479
28213,3,109775
28214,3,109775
28227,3,237873
28265,1,94496
28266,5,655651
28294,1,94496
28297,5,655651
28334,4,60278
28347,1,94496
28355,5,655651
28373,5,655651
28390,5,702725
28423,5,655651
28437,4,235528
28438,5,655651
28468,5,655651
28497,5,655651
28518,3,54950
28572,1,94496
28600,3,219133
28630,5,655651
28640,3,54950
28833,3,65507
28834,1,69463
28836,3,65507
28837,3,65507
28841,1,69463
28843,1,69463
28844,3,65507
28873,3,260911
28874,3,238966
28875,3,238966
28877,3,260911
28878,3,260911
28893,3,253899
28905,2,231666
28913,3,255457
28926,4,127112
28955,3,304668
28973,2,220823
28976,4,149445
28980,3,304668
28991,4,149445
29000,4,149445
29003,4,149445
29007,6,225233
29013,3,304668
29032,2,231666
29041,4,149445
29048,2,231666
29050,2,231666
29058,3,255457
29070,3,255457
29104,5,79280
29107,6,223560
29109,3,73956
29110,6,223560
29114,6,223560
29115,4,60278
29116,4,77718
29117,3,39158
29118,3,39158
29120,4,60278
29121,3,39158
29122,3,76851
29123,3,76851
29124,3,47798
29125,5,203382
29127,3,47798
29128,6,223560
29129,3,78018
29172,6,1457094
29173,5,1384022
29174,6,1411582
29175,5,1378382
29176,6,1403265
29177,4,254025
29178,5,1379407
29180,6,1401147
29181,6,1410049
29183,6,1398914
29185,4,296095
29186,4,296095
29189,4,296095
29286,3,49080
29295,3,49080
29300,3,273627
29302,5,959080
29331,3,52742
29332,3,52742
29333,3,52742
29334,3,52742
29340,3,82317
29355,3,67204
29358,3,67204
29360,3,67204
29367,2,44625
29391,5,102046
29474,3,53774
29489,5,89263
29498,4,1426040
29514,4,69374
29515,5,89263
29539,4,1426040
29582,5,89263
29618,4,1426040
29655,5,469363
29667,5,404075
29679,4,1191644
29702,5,404075
29709,6,492808
29721,5,89263
29725,3,993764
29733,3,57796
29742,4,1247317
29757,3,57796
29773,5,89263
29794,3,67569
29811,3,57796
29827,3,57796
29833,3,71513
29900,5,1315922
29960,3,143857
29977,2,39481
3,6,235381
30047,4,75453
30048,4,123715
30049,4,123715
30050,4,123715
30051,4,75453
30052,4,123715
30053,3,88033
30054,4,107973
30055,4,114364
30056,4,114364
30060,3,51951
30084,3,143857
30086,4,169936
30091,3,143857
30092,4,169936
30102,4,91144
30113,3,143857
30119,4,91144
30129,3,143857
30142,3,143857
30145,3,69364
30184,3,63432
30185,3,63432
30186,3,63432
30187,3,63432
30189,3,63432
30190,3,63432
30193,3,63432
30194,4,84588
30196,3,63432
30199,4,84588
30213,6,357146
30215,5,89263
30216,6,248514
30217,6,1355822
30218,4,74766
30219,5,89263
30220,6,248514
30221,6,248514
30222,6,248514
30223,8,314171
30224,6,248514
30225,6,155716
30226,6,1344284
30227,5,94324
30228,6,248514
30229,6,248514
30230,5,94260
30288,8,1669235
30289,5,308166
30290,5,308166
30291,5,308166
30292,5,308166
30293,5,308166
30294,5,308166
30295,5,308166
30413,3,201109
30416,4,235628
30431,4,225989
30440,3,48248
30458,5,593314
30461,4,276734
30466,4,276734
30467,4,287363
30468,4,276734
30472,4,287363
30473,4,276734
30475,3,35398
30477,3,35398
30481,3,35398
30491,5,573496
30492,3,35398
30493,3,35398
30495,5,573496
30496,3,171556
30502,3,171556
30503,4,314111
30508,3,35398
30509,3,171556
30510,4,314111
30521,4,415177
30522,4,415177
30523,4,415177
30524,4,415177
30525,4,415177
30526,4,415177
30527,6,1326713
30528,6,1325537
30530,6,1332918
30531,6,1327262
30532,6,1324002
30534,6,1331039
30535,6,1334924
30537,6,1365351
30538,4,141940
30543,5,1278601
30544,4,142542
30547,4,142542
30548,4,142542
30550,5,173304
30552,4,142542
30668,3,43284
30669,4,57448
30670,3,43284
30671,3,43284
30693,4,310572
30695,4,310572
30719,3,206489
30721,3,206489
30723,3,206489
30732,3,206489
30734,3,206489
30737,3,206489
30738,3,206489
30739,3,206489
30745,3,206489
30751,3,102621
30752,3,102621
30753,3,102621
30853,5,532758
30876,5,532758
30931,3,60583
31010,4,92747
31037,4,121866
31039,4,121866
31040,4,121866
31043,4,121866
31044,4,121866
31045,3,100876
31047,4,144973
31051,4,144973
31052,4,144973
31053,4,144973
31055,4,144973
31056,4,144973
31057,4,144973
31059,3,33787
31076,3,127442
31082,3,33787
31143,4,301654
31144,4,301654
31145,4,301654
31146,4,301654
31148,4,301654
31149,4,301654
31160,3,57584
31161,6,1260504
31174,3,57584
31182,5,1233284
31185,3,57584
31188,3,57584
31193,5,132609
31200,3,47824
31203,4,73499
31204,6,1269018
31208,4,73499
31209,3,47824
31212,6,1249458
31216,6,1267969
31218,6,1253585
31220,3,57584
31242,6,1216079
31244,5,83861
31258,6,143043
31260,6,149212
31263,5,134804
31272,5,134804
31308,5,159664
31311,4,146090
31312,4,146090
31313,4,146090
31314,4,146090
31329,4,75681
31386,3,65133
31388,3,92463
31390,3,92463
31391,3,92463
31523,5,221042
31525,5,221042
31526,5,221042
31528,6,252956
31529,5,221042
31535,3,115992
31543,3,172537
31559,3,79176
31570,6,203485
31577,3,82922
31580,5,118378
31593,5,114769
31595,2,30667
31602,5,114181
31606,6,190413
31614,3,82922
31617,6,1318267
31618,3,82922
31622,7,1351143
31623,3,90225
31625,5,215907
31635,5,112515
31640,5,118858
31648,3,60012
31659,3,82922
31668,5,227029
31674,4,103515
31676,6,202408
31689,4,103515
31695,4,103515
31704,3,84541
31709,5,171908
31711,4,103515
31718,3,81008
31721,5,171908
31737,6,1324728
31753,6,218243
31756,6,215518
31757,6,215518
31758,6,215518
31760,6,215518
31766,6,204478
31769,6,204478
31780,3,78833
31783,4,106129
31784,4,114189
31786,3,78600
31792,4,114189
31801,4,61376
31804,4,114189
31806,4,114189
31812,5,135295
31836,6,1372779
31840,3,80855
31846,3,75906
31847,6,2345030
31848,7,1793817
31849,5,1344168
31850,6,386394
31851,3,105718
31853,3,108033
31862,5,149261
31866,5,161043
31872,3,67312
31873,4,132918
31906,4,117350
31908,6,225170
31912,1,49997
31952,5,99725
31953,5,94209
31954,5,109658
31955,5,99725
31956,1,34141
31957,6,121215
31958,5,97843
31959,6,121215
31960,5,97843
31982,3,23085
31983,3,23085
31984,3,23085
31985,3,23085
31986,3,23085
31987,3,23085
31990,3,23085
31999,5,265273
32002,3,48946
32003,4,162684
32005,3,146635
32008,5,1257750
32009,5,1253522
32010,5,1266687
32011,5,1255156
32012,5,1257073
32013,5,1264152
32015,5,1284853
32016,5,1260556
32017,5,1250795
32032,8,274828
32088,7,273814
32089,7,273814
32124,3,107574
32131,4,110857
32142,3,61363
32167,3,61363
32204,3,98253
32206,3,98253
32207,3,68154
32208,3,147738
32209,3,108768
32210,3,108768
32212,3,122951
32243,5,169378
32250,5,169378
32257,5,169378
32279,4,146580
32389,4,182684
32760,4,187599
32808,5,1800835
32853,2,38404
32857,2,62704
32860,2,40471
32863,2,38967
32873,4,171576
329,3,30710
32951,8,603581
330,1,225210
33091,3,244650
33092,5,344114
33099,4,356816
331,2,201733
33107,4,368604
33108,5,515373
33114,4,338331
